# 250924_15:17:34.299976
t	CH1	CH2
0.000000e+00	4.425928e-03	-1.295286e+01
1.000000e-08	5.000006e-03	-1.296739e+01
2.000000e-08	5.367632e-03	-1.301002e+01
3.000000e-08	5.764425e-03	-1.305065e+01
4.000000e-08	2.746726e-03	-1.309225e+01
5.000000e-08	3.791997e-03	-1.316481e+01
6.000000e-08	3.280884e-03	-1.318797e+01
7.000000e-08	5.846328e-03	-1.326972e+01
8.000000e-08	6.401661e-03	-1.329213e+01
9.000000e-08	5.489629e-03	-1.335326e+01
1.000000e-07	4.971743e-03	-1.337496e+01
1.100000e-07	2.925062e-03	-1.337857e+01
1.200000e-07	4.759385e-03	-1.342967e+01
1.300000e-07	4.453373e-03	-1.344119e+01
1.400000e-07	4.507891e-03	-1.344220e+01
1.500000e-07	4.394899e-03	-1.347328e+01
1.600000e-07	3.963199e-03	-1.350235e+01
1.700000e-07	5.122297e-03	-1.354491e+01
1.800000e-07	4.865469e-03	-1.354491e+01
1.900000e-07	4.296306e-03	-1.354336e+01
2.000000e-07	4.062512e-03	-1.356499e+01
2.100000e-07	4.066108e-03	-1.355549e+01
2.200000e-07	5.125249e-03	-1.356586e+01
2.300000e-07	5.694164e-03	-1.356601e+01
2.400000e-07	5.346279e-03	-1.357494e+01
2.500000e-07	4.379464e-03	-1.354651e+01
2.600000e-07	3.578898e-03	-1.355496e+01
2.700000e-07	3.726295e-03	-1.353344e+01
2.800000e-07	4.473005e-03	-1.352328e+01
2.900000e-07	5.019851e-03	-1.350329e+01
3.000000e-07	4.986737e-03	-1.348083e+01
3.100000e-07	4.773391e-03	-1.349175e+01
3.200000e-07	4.913788e-03	-1.345060e+01
3.300000e-07	4.138039e-03	-1.342910e+01
3.400000e-07	3.814214e-03	-1.340844e+01
3.500000e-07	3.410263e-03	-1.339797e+01
3.600000e-07	4.092914e-03	-1.336296e+01
3.700000e-07	4.459361e-03	-1.333383e+01
3.800000e-07	5.134609e-03	-1.329375e+01
3.900000e-07	5.081515e-03	-1.322870e+01
4.000000e-07	4.332504e-03	-1.320795e+01
4.100000e-07	3.763118e-03	-1.317599e+01
4.200000e-07	4.018738e-03	-1.314531e+01
4.300000e-07	3.216553e-03	-1.309226e+01
4.400000e-07	3.573450e-03	-1.303113e+01
4.500000e-07	3.663679e-03	-1.305907e+01
