# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_212948.41725077556
# 
Resultados:
# tau_s_=_(-1.27+/-0.13)e+01
# dphi_rad_=_6.27+/-0.00
# SAR_W/g_=_-22.28+/-2.32
# Hc_kA/m_=_0.62+/-0.07
# Mr_A/m_=_6.55+/-0.71
# Suceptibilidad_a_M=0_=_0.0105+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
212kHz_100dA_100Mss_bobN1Pm0007.txt		20.00	6.73	0.63	38460.00	408.92	2.129472e+05	1.102083e+01	6.265919e+00	-22.86	-12.905620	4696	1.060e-02
212kHz_100dA_100Mss_bobN1Pm0008.txt		20.00	5.79	0.55	38460.00	408.56	2.129472e+05	1.101126e+01	6.268209e+00	-19.81	-11.193206	4696	1.059e-02
212kHz_100dA_100Mss_bobN1Pm0009.txt		20.00	6.08	0.57	38460.00	409.68	2.129472e+05	1.104125e+01	6.267560e+00	-20.72	-11.678793	4696	1.062e-02
212kHz_100dA_100Mss_bobN1Pm0010.txt		20.00	6.76	0.63	38460.00	411.83	2.129472e+05	1.109908e+01	6.265937e+00	-23.00	-12.892099	4696	1.067e-02
212kHz_100dA_100Mss_bobN1Pm0011.txt		20.00	6.38	0.61	38460.00	405.05	2.129472e+05	1.091637e+01	6.266653e+00	-21.68	-12.356588	4696	1.050e-02
212kHz_100dA_100Mss_bobN1Pm0012.txt		20.00	5.83	0.55	38460.00	408.18	2.129472e+05	1.100083e+01	6.268123e+00	-19.90	-11.257158	4696	1.059e-02
212kHz_100dA_100Mss_bobN1Pm0013.txt		20.00	7.21	0.69	38460.00	403.27	2.129472e+05	1.086837e+01	6.264503e+00	-24.39	-13.964169	4696	1.045e-02
212kHz_100dA_100Mss_bobN1Pm0014.txt		20.00	5.47	0.52	38460.00	406.07	2.129472e+05	1.094400e+01	6.268857e+00	-18.84	-10.709193	4696	1.053e-02
212kHz_100dA_100Mss_bobN1Pm0015.txt		20.00	6.68	0.63	38460.00	406.73	2.129472e+05	1.096156e+01	6.265954e+00	-22.69	-12.878975	4696	1.054e-02
212kHz_100dA_100Mss_bobN1Pm0016.txt		20.00	5.66	0.54	38460.00	406.20	2.129472e+05	1.094761e+01	6.268411e+00	-19.43	-11.042574	4696	1.053e-02
212kHz_100dA_100Mss_bobN1Pm0017.txt		20.00	6.12	0.58	38460.00	405.33	2.129472e+05	1.092413e+01	6.267272e+00	-20.88	-11.894270	4696	1.051e-02
212kHz_100dA_100Mss_bobN1Pm0018.txt		20.00	6.42	0.62	38460.00	402.74	2.129472e+05	1.085418e+01	6.266435e+00	-21.84	-12.519567	4696	1.044e-02
212kHz_100dA_100Mss_bobN1Pm0019.txt		20.00	7.60	0.72	38460.00	407.67	2.129925e+05	1.098478e+01	6.263634e+00	-25.80	-14.614079	4695	1.057e-02
212kHz_100dA_100Mss_bobN1Pm0020.txt		20.00	6.52	0.63	38460.00	401.88	2.129472e+05	1.083101e+01	6.266142e+00	-22.17	-12.739078	4696	1.042e-02
212kHz_100dA_100Mss_bobN1Pm0021.txt		20.00	6.55	0.62	38460.00	405.45	2.129472e+05	1.092741e+01	6.266211e+00	-22.28	-12.687617	4696	1.051e-02
212kHz_100dA_100Mss_bobN1Pm0022.txt		20.00	5.80	0.56	38460.00	401.03	2.129472e+05	1.080832e+01	6.267938e+00	-19.80	-11.395972	4696	1.040e-02
212kHz_100dA_100Mss_bobN1Pm0023.txt		20.00	6.98	0.67	38460.00	404.68	2.129472e+05	1.090644e+01	6.265093e+00	-23.70	-13.522683	4696	1.049e-02
212kHz_100dA_100Mss_bobN1Pm0024.txt		20.00	6.34	0.61	38460.00	400.74	2.129472e+05	1.080037e+01	6.266556e+00	-21.57	-12.429165	4696	1.039e-02
212kHz_100dA_100Mss_bobN1Pm0025.txt		20.00	6.64	0.63	38460.00	407.89	2.129472e+05	1.099297e+01	6.266064e+00	-22.61	-12.797285	4696	1.057e-02
212kHz_100dA_100Mss_bobN1Pm0026.txt		20.00	7.56	0.71	38460.00	410.34	2.129472e+05	1.105903e+01	6.263929e+00	-25.58	-14.393248	4696	1.064e-02
212kHz_100dA_100Mss_bobN1Pm0027.txt		20.00	7.13	0.68	38460.00	404.05	2.129472e+05	1.088965e+01	6.264694e+00	-24.19	-13.821588	4696	1.047e-02
212kHz_100dA_100Mss_bobN1Pm0028.txt		20.00	6.23	0.60	38460.00	398.26	2.129472e+05	1.073361e+01	6.266718e+00	-21.23	-12.307945	4696	1.033e-02
212kHz_100dA_100Mss_bobN1Pm0029.txt		20.00	6.43	0.61	38460.00	404.46	2.129472e+05	1.090060e+01	6.266439e+00	-21.93	-12.516839	4696	1.049e-02
212kHz_100dA_100Mss_bobN1Pm0030.txt		20.00	7.30	0.69	38460.00	407.42	2.129472e+05	1.098036e+01	6.264452e+00	-24.71	-14.002280	4696	1.056e-02
212kHz_100dA_100Mss_bobN1Pm0031.txt		20.00	7.34	0.69	38460.00	409.43	2.129472e+05	1.103455e+01	6.264439e+00	-24.85	-14.011916	4696	1.062e-02
212kHz_100dA_100Mss_bobN1Pm0032.txt		20.00	7.62	0.73	38460.00	405.10	2.129472e+05	1.091782e+01	6.263548e+00	-25.75	-14.678319	4696	1.050e-02
