# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_239336.24321765872
# Promedio de 25 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.973696e-09	-3.934381e-09	-4.584838e+01	-4.572928e+02
1.000000e-08	-8.972060e-09	-3.934018e-09	-4.584002e+01	-4.570263e+02
2.000000e-08	-8.968387e-09	-3.932181e-09	-4.582126e+01	-4.566565e+02
3.000000e-08	-8.962885e-09	-3.928071e-09	-4.579315e+01	-4.561833e+02
4.000000e-08	-8.955668e-09	-3.920526e-09	-4.575627e+01	-4.556069e+02
5.000000e-08	-8.946630e-09	-3.909407e-09	-4.571010e+01	-4.549274e+02
6.000000e-08	-8.935453e-09	-3.896954e-09	-4.565299e+01	-4.541450e+02
7.000000e-08	-8.922091e-09	-3.880795e-09	-4.558472e+01	-4.532599e+02
8.000000e-08	-8.906517e-09	-3.871380e-09	-4.550515e+01	-4.522722e+02
9.000000e-08	-8.888553e-09	-3.896025e-09	-4.541337e+01	-4.511822e+02
1.000000e-07	-8.868298e-09	-3.904074e-09	-4.530988e+01	-4.499901e+02
1.100000e-07	-8.845879e-09	-3.885205e-09	-4.519534e+01	-4.486962e+02
1.200000e-07	-8.821586e-09	-3.832588e-09	-4.507122e+01	-4.473008e+02
1.300000e-07	-8.795681e-09	-3.764940e-09	-4.493887e+01	-4.458042e+02
1.400000e-07	-8.768075e-09	-3.822577e-09	-4.479782e+01	-4.442067e+02
1.500000e-07	-8.738585e-09	-3.818263e-09	-4.464715e+01	-4.425087e+02
1.600000e-07	-8.707434e-09	-3.718171e-09	-4.448799e+01	-4.407106e+02
1.700000e-07	-8.674557e-09	-3.798297e-09	-4.432002e+01	-4.388128e+02
1.800000e-07	-8.639409e-09	-3.800252e-09	-4.414044e+01	-4.368157e+02
1.900000e-07	-8.602497e-09	-3.665371e-09	-4.395185e+01	-4.347198e+02
2.000000e-07	-8.564177e-09	-3.722481e-09	-4.375606e+01	-4.325255e+02
2.100000e-07	-8.523750e-09	-3.717464e-09	-4.354951e+01	-4.302334e+02
2.200000e-07	-8.481106e-09	-3.606204e-09	-4.333164e+01	-4.278439e+02
2.300000e-07	-8.436507e-09	-3.649258e-09	-4.310377e+01	-4.253576e+02
2.400000e-07	-8.389905e-09	-3.645659e-09	-4.286567e+01	-4.227751e+02
2.500000e-07	-8.341501e-09	-3.597482e-09	-4.261837e+01	-4.200969e+02
2.600000e-07	-8.291106e-09	-3.605973e-09	-4.236089e+01	-4.173237e+02
2.700000e-07	-8.238249e-09	-3.540474e-09	-4.209083e+01	-4.144561e+02
2.800000e-07	-8.183314e-09	-3.491124e-09	-4.181016e+01	-4.114947e+02
2.900000e-07	-8.126640e-09	-3.496183e-09	-4.152060e+01	-4.084401e+02
3.000000e-07	-8.068022e-09	-3.472575e-09	-4.122111e+01	-4.052932e+02
3.100000e-07	-8.007420e-09	-3.457386e-09	-4.091148e+01	-4.020546e+02
3.200000e-07	-7.944995e-09	-3.425908e-09	-4.059254e+01	-3.987250e+02
3.300000e-07	-7.880938e-09	-3.378855e-09	-4.026526e+01	-3.953052e+02
3.400000e-07	-7.815141e-09	-3.351293e-09	-3.992909e+01	-3.917959e+02
3.500000e-07	-7.747359e-09	-3.327470e-09	-3.958278e+01	-3.881980e+02
3.600000e-07	-7.677726e-09	-3.281942e-09	-3.922700e+01	-3.845123e+02
3.700000e-07	-7.606481e-09	-3.233253e-09	-3.886300e+01	-3.807395e+02
3.800000e-07	-7.533593e-09	-3.225946e-09	-3.849060e+01	-3.768806e+02
3.900000e-07	-7.458750e-09	-3.208034e-09	-3.810822e+01	-3.729365e+02
4.000000e-07	-7.381974e-09	-3.166723e-09	-3.771595e+01	-3.689079e+02
4.100000e-07	-7.303344e-09	-3.122213e-09	-3.731421e+01	-3.647959e+02
4.200000e-07	-7.222820e-09	-3.062937e-09	-3.690280e+01	-3.606013e+02
4.300000e-07	-7.140626e-09	-3.033618e-09	-3.648285e+01	-3.563252e+02
4.400000e-07	-7.056956e-09	-3.017622e-09	-3.605537e+01	-3.519684e+02
4.500000e-07	-6.971905e-09	-2.975595e-09	-3.562082e+01	-3.475319e+02
4.600000e-07	-6.885490e-09	-2.931934e-09	-3.517932e+01	-3.430169e+02
4.700000e-07	-6.797694e-09	-2.888270e-09	-3.473074e+01	-3.384242e+02
4.800000e-07	-6.708451e-09	-2.853073e-09	-3.427479e+01	-3.337549e+02
4.900000e-07	-6.617564e-09	-2.815501e-09	-3.381042e+01	-3.290102e+02
5.000000e-07	-6.525059e-09	-2.765461e-09	-3.333780e+01	-3.241909e+02
5.100000e-07	-6.431133e-09	-2.716561e-09	-3.285791e+01	-3.192983e+02
5.200000e-07	-6.335866e-09	-2.674910e-09	-3.237118e+01	-3.143335e+02
5.300000e-07	-6.239249e-09	-2.644535e-09	-3.187754e+01	-3.092975e+02
5.400000e-07	-6.141182e-09	-2.598986e-09	-3.137649e+01	-3.041915e+02
5.500000e-07	-6.041665e-09	-2.540767e-09	-3.086804e+01	-2.990167e+02
5.600000e-07	-5.940753e-09	-2.484798e-09	-3.035246e+01	-2.937742e+02
5.700000e-07	-5.838528e-09	-2.440254e-09	-2.983017e+01	-2.884653e+02
5.800000e-07	-5.735133e-09	-2.407500e-09	-2.930191e+01	-2.830910e+02
5.900000e-07	-5.630563e-09	-2.364490e-09	-2.876764e+01	-2.776527e+02
6.000000e-07	-5.524712e-09	-2.312733e-09	-2.822683e+01	-2.721516e+02
6.100000e-07	-5.417455e-09	-2.258918e-09	-2.767883e+01	-2.665888e+02
6.200000e-07	-5.308835e-09	-2.210323e-09	-2.712387e+01	-2.609658e+02
6.300000e-07	-5.199078e-09	-2.166408e-09	-2.656310e+01	-2.552836e+02
6.400000e-07	-5.088299e-09	-2.117159e-09	-2.599711e+01	-2.495437e+02
6.500000e-07	-4.976462e-09	-2.064272e-09	-2.542571e+01	-2.437474e+02
6.600000e-07	-4.863420e-09	-2.014443e-09	-2.484815e+01	-2.378958e+02
6.700000e-07	-4.749030e-09	-1.970402e-09	-2.426371e+01	-2.319904e+02
6.800000e-07	-4.633304e-09	-1.925225e-09	-2.367245e+01	-2.260325e+02
6.900000e-07	-4.516411e-09	-1.870072e-09	-2.307522e+01	-2.200234e+02
7.000000e-07	-4.398472e-09	-1.809175e-09	-2.247264e+01	-2.139645e+02
7.100000e-07	-4.279539e-09	-1.753791e-09	-2.186499e+01	-2.078572e+02
7.200000e-07	-4.159661e-09	-1.706141e-09	-2.125251e+01	-2.017029e+02
7.300000e-07	-4.038861e-09	-1.656725e-09	-2.063532e+01	-1.955029e+02
7.400000e-07	-3.917165e-09	-1.599091e-09	-2.001355e+01	-1.892586e+02
7.500000e-07	-3.794523e-09	-1.540476e-09	-1.938695e+01	-1.829715e+02
7.600000e-07	-3.670887e-09	-1.485682e-09	-1.875527e+01	-1.766429e+02
7.700000e-07	-3.546377e-09	-1.434597e-09	-1.811912e+01	-1.702744e+02
7.800000e-07	-3.421162e-09	-1.380416e-09	-1.747937e+01	-1.638673e+02
7.900000e-07	-3.295286e-09	-1.319725e-09	-1.683625e+01	-1.574231e+02
8.000000e-07	-3.168731e-09	-1.260797e-09	-1.618965e+01	-1.509432e+02
8.100000e-07	-3.041521e-09	-1.205158e-09	-1.553971e+01	-1.444292e+02
8.200000e-07	-2.913674e-09	-1.149234e-09	-1.488651e+01	-1.378825e+02
8.300000e-07	-2.785169e-09	-1.087591e-09	-1.422996e+01	-1.313045e+02
8.400000e-07	-2.656009e-09	-1.021438e-09	-1.357005e+01	-1.246968e+02
8.500000e-07	-2.526231e-09	-9.592514e-10	-1.290699e+01	-1.180608e+02
8.600000e-07	-2.395888e-09	-9.054659e-10	-1.224105e+01	-1.113981e+02
8.700000e-07	-2.265004e-09	-8.553617e-10	-1.157233e+01	-1.047102e+02
8.800000e-07	-2.133602e-09	-8.013020e-10	-1.090097e+01	-9.799854e+01
8.900000e-07	-2.001730e-09	-7.404411e-10	-1.022721e+01	-9.126467e+01
9.000000e-07	-1.869417e-09	-6.783413e-10	-9.551199e+00	-8.451012e+01
9.100000e-07	-1.736701e-09	-6.208681e-10	-8.873124e+00	-7.773640e+01
9.200000e-07	-1.603638e-09	-5.627998e-10	-8.193282e+00	-7.094506e+01
9.300000e-07	-1.470276e-09	-5.012896e-10	-7.511910e+00	-6.413763e+01
9.400000e-07	-1.336647e-09	-4.402574e-10	-6.829169e+00	-5.731565e+01
