# 250924_14:58:34.820025
t	CH1	CH2
0.000000e+00	-9.359132e-02	3.379400e+00
1.000000e-08	1.402385e-01	3.578401e+00
2.000000e-08	-8.245767e-02	3.791454e+00
3.000000e-08	-7.653649e-02	3.956770e+00
4.000000e-08	1.376764e-01	4.095690e+00
5.000000e-08	-2.951220e-02	4.368825e+00
6.000000e-08	-3.112592e-02	4.442582e+00
7.000000e-08	5.420635e-02	4.623058e+00
8.000000e-08	-7.695925e-02	4.812587e+00
9.000000e-08	-9.719182e-03	5.010913e+00
1.000000e-07	4.195825e-02	5.243058e+00
1.100000e-07	-1.293755e-02	5.423010e+00
1.200000e-07	1.307937e-02	5.600432e+00
1.300000e-07	1.040374e-02	5.709375e+00
1.400000e-07	-3.058566e-02	5.935846e+00
1.500000e-07	2.404775e-03	6.085192e+00
1.600000e-07	1.868950e-03	6.234011e+00
1.700000e-07	-2.305928e-02	6.391004e+00
1.800000e-07	-4.726450e-04	6.537827e+00
1.900000e-07	3.126213e-02	6.759820e+00
2.000000e-07	9.386558e-03	6.976190e+00
2.100000e-07	-2.353253e-02	7.042158e+00
2.200000e-07	-9.165114e-04	7.241425e+00
2.300000e-07	-2.851400e-02	7.304769e+00
2.400000e-07	1.203117e-02	7.515241e+00
2.500000e-07	1.910845e-02	7.685165e+00
2.600000e-07	-1.443802e-02	7.863088e+00
2.700000e-07	2.249459e-03	8.000554e+00
2.800000e-07	-3.727365e-03	8.178874e+00
2.900000e-07	2.572626e-03	8.265669e+00
3.000000e-07	-5.953490e-03	8.402005e+00
3.100000e-07	-7.791384e-03	8.506293e+00
3.200000e-07	-7.848283e-03	8.643611e+00
3.300000e-07	6.998935e-03	8.738398e+00
3.400000e-07	1.178234e-02	8.842141e+00
3.500000e-07	-2.779614e-03	8.983032e+00
3.600000e-07	-1.497725e-02	9.178976e+00
3.700000e-07	-7.624245e-03	9.254636e+00
3.800000e-07	1.174951e-03	9.421001e+00
3.900000e-07	5.919555e-03	9.484316e+00
4.000000e-07	2.471349e-03	9.590911e+00
4.100000e-07	-8.590941e-03	9.734696e+00
4.200000e-07	-1.463546e-03	9.825685e+00
4.300000e-07	-3.268708e-03	9.990505e+00
4.400000e-07	3.001119e-03	1.007369e+01
4.500000e-07	-5.408413e-03	1.013646e+01
4.600000e-07	-7.406305e-03	1.026487e+01
4.700000e-07	-7.259846e-04	1.035948e+01
4.800000e-07	3.448454e-03	1.048424e+01
4.900000e-07	5.409199e-03	1.057848e+01
5.000000e-07	-8.481388e-03	1.070632e+01
5.100000e-07	-7.967556e-03	1.082003e+01
5.200000e-07	-5.116622e-03	1.092526e+01
5.300000e-07	4.090394e-03	1.094793e+01
5.400000e-07	2.475341e-03	1.105306e+01
5.500000e-07	-3.010718e-03	1.110537e+01
5.600000e-07	-4.739350e-03	1.117000e+01
5.700000e-07	-3.850877e-03	1.126419e+01
5.800000e-07	2.591754e-03	1.133642e+01
5.900000e-07	-3.032401e-03	1.148228e+01
6.000000e-07	-4.653568e-03	1.155630e+01
6.100000e-07	-4.722318e-03	1.161915e+01
6.200000e-07	1.660838e-03	1.166574e+01
6.300000e-07	3.425999e-04	1.174947e+01
6.400000e-07	-1.849285e-03	1.176948e+01
6.500000e-07	-6.229956e-03	1.183171e+01
6.600000e-07	-4.189556e-03	1.190432e+01
6.700000e-07	7.303182e-04	1.196984e+01
6.800000e-07	-6.343938e-04	1.199745e+01
6.900000e-07	-1.536960e-03	1.202161e+01
7.000000e-07	-5.176116e-03	1.206261e+01
7.100000e-07	-2.539249e-03	1.208539e+01
7.200000e-07	-1.632855e-03	1.212642e+01
7.300000e-07	-1.012686e-04	1.215903e+01
7.400000e-07	-3.936030e-03	1.217108e+01
7.500000e-07	-3.536916e-03	1.223259e+01
7.600000e-07	-1.779760e-03	1.224271e+01
7.700000e-07	-1.033855e-03	1.229487e+01
7.800000e-07	-2.258237e-03	1.234434e+01
7.900000e-07	-4.750569e-03	1.238593e+01
8.000000e-07	-4.347779e-03	1.238843e+01
8.100000e-07	-2.300632e-03	1.240017e+01
8.200000e-07	8.259273e-04	1.237113e+01
8.300000e-07	-1.281318e-03	1.243001e+01
8.400000e-07	-3.541749e-03	1.244155e+01
8.500000e-07	-3.756393e-03	1.241063e+01
8.600000e-07	-2.503367e-03	1.242156e+01
8.700000e-07	-8.111943e-04	1.239113e+01
8.800000e-07	-3.446990e-03	1.241045e+01
8.900000e-07	-3.628224e-03	1.241106e+01
9.000000e-07	-3.579854e-03	1.237847e+01
9.100000e-07	-1.052725e-03	1.237053e+01
9.200000e-07	-1.487288e-03	1.234798e+01
9.300000e-07	-3.473830e-03	1.235686e+01
9.400000e-07	-4.027795e-03	1.232429e+01
9.500000e-07	-3.328599e-03	1.229374e+01
9.600000e-07	-9.676910e-04	1.224115e+01
9.700000e-07	-1.144263e-03	1.211810e+01
9.800000e-07	-2.514546e-03	1.212647e+01
9.900000e-07	-3.926955e-03	1.205536e+01
1.000000e-06	-2.856633e-03	1.207466e+01
1.010000e-06	-3.289746e-03	1.201863e+01
1.020000e-06	-9.898808e-04	1.197760e+01
1.030000e-06	-5.596416e-03	1.192594e+01
1.040000e-06	-3.121382e-03	1.184321e+01
1.050000e-06	-2.795623e-03	1.179163e+01
1.060000e-06	-1.618448e-03	1.176748e+01
1.070000e-06	-2.637918e-03	1.166484e+01
1.080000e-06	-3.191126e-03	1.165213e+01
1.090000e-06	-2.205819e-03	1.155808e+01
1.100000e-06	-3.377159e-03	1.142386e+01
1.110000e-06	-3.336016e-03	1.132908e+01
1.120000e-06	-3.874770e-03	1.127494e+01
1.130000e-06	-4.671679e-03	1.120115e+01
1.140000e-06	-2.669323e-03	1.111692e+01
1.150000e-06	-2.246032e-03	1.106429e+01
1.160000e-06	-4.342057e-04	1.097963e+01
1.170000e-06	-2.883726e-03	1.090540e+01
1.180000e-06	-3.730614e-03	1.084276e+01
1.190000e-06	-4.779223e-03	1.079858e+01
1.200000e-06	-4.351046e-03	1.068186e+01
1.210000e-06	-3.242297e-03	1.051702e+01
1.220000e-06	-3.114792e-03	1.042376e+01
1.230000e-06	-3.708994e-03	1.033748e+01
1.240000e-06	-2.593366e-03	1.027319e+01
1.250000e-06	-2.641713e-03	1.012802e+01
1.260000e-06	-2.688107e-03	1.006274e+01
1.270000e-06	-3.735802e-03	9.989049e+00
1.280000e-06	-3.829857e-03	9.800785e+00
1.290000e-06	-3.352068e-03	9.665785e+00
1.300000e-06	-3.751554e-03	9.608525e+00
1.310000e-06	-3.472931e-03	9.452186e+00
1.320000e-06	-4.246093e-03	9.298599e+00
1.330000e-06	-3.735351e-03	9.241262e+00
1.340000e-06	-2.977301e-03	9.157445e+00
1.350000e-06	-3.378037e-03	8.989702e+00
1.360000e-06	-3.185705e-03	8.812257e+00
1.370000e-06	-4.120589e-03	8.735021e+00
1.380000e-06	-3.719582e-03	8.579598e+00
1.390000e-06	-3.398451e-03	8.462313e+00
1.400000e-06	-4.099187e-03	8.387049e+00
1.410000e-06	-4.309760e-03	8.260633e+00
1.420000e-06	-4.019832e-03	8.082308e+00
1.430000e-06	-2.879405e-03	7.936093e+00
1.440000e-06	-3.378560e-03	7.788096e+00
1.450000e-06	-3.780087e-03	7.610734e+00
1.460000e-06	-3.991454e-03	7.454885e+00
1.470000e-06	-4.230558e-03	7.332866e+00
1.480000e-06	-3.314066e-03	7.136995e+00
1.490000e-06	-3.694561e-03	7.010126e+00
1.500000e-06	-3.789286e-03	6.882261e+00
1.510000e-06	-4.380217e-03	6.765941e+00
1.520000e-06	-3.679415e-03	6.526420e+00
1.530000e-06	-4.004037e-03	6.379571e+00
1.540000e-06	-4.490757e-03	6.200683e+00
1.550000e-06	-5.225650e-03	6.094383e+00
1.560000e-06	-4.106591e-03	6.008549e+00
1.570000e-06	-3.325394e-03	5.809179e+00
1.580000e-06	-3.195473e-03	5.608622e+00
1.590000e-06	-4.205431e-03	5.443679e+00
1.600000e-06	-5.090187e-03	5.304761e+00
1.610000e-06	-4.675178e-03	5.094383e+00
1.620000e-06	-4.293725e-03	4.843306e+00
