# 250924_10:31:25.915315
t	CH1	CH2
0.000000e+00	-1.112169e-02	1.600833e+01
1.000000e-08	-9.285130e-03	1.593406e+01
2.000000e-08	-9.444468e-03	1.587942e+01
3.000000e-08	-1.040856e-02	1.578463e+01
4.000000e-08	-1.276197e-02	1.563887e+01
5.000000e-08	-1.238948e-02	1.552148e+01
6.000000e-08	-1.082392e-02	1.540671e+01
7.000000e-08	-8.783113e-03	1.522887e+01
8.000000e-08	-9.169793e-03	1.509253e+01
9.000000e-08	-1.165917e-02	1.500469e+01
1.000000e-07	-1.130014e-02	1.483685e+01
1.100000e-07	-1.029676e-02	1.468906e+01
1.200000e-07	-9.336943e-03	1.456316e+01
1.300000e-07	-1.069074e-02	1.436364e+01
1.400000e-07	-1.189102e-02	1.423832e+01
1.500000e-07	-8.999181e-03	1.404780e+01
1.600000e-07	-1.151100e-02	1.381937e+01
1.700000e-07	-8.777995e-03	1.369052e+01
1.800000e-07	-1.202820e-02	1.348047e+01
1.900000e-07	-1.016912e-02	1.328098e+01
2.000000e-07	-8.932174e-03	1.310143e+01
2.100000e-07	-9.297824e-03	1.286253e+01
2.200000e-07	-8.355915e-03	1.268047e+01
2.300000e-07	-1.228775e-02	1.252100e+01
2.400000e-07	-1.128592e-02	1.228045e+01
2.500000e-07	-1.139516e-02	1.208994e+01
2.600000e-07	-1.008385e-02	1.184784e+01
2.700000e-07	-9.201758e-03	1.158519e+01
2.800000e-07	-9.718772e-03	1.137153e+01
2.900000e-07	-8.387011e-03	1.108895e+01
3.000000e-07	-7.776074e-03	1.084888e+01
3.100000e-07	-8.382826e-03	1.061637e+01
3.200000e-07	-9.948805e-03	1.031313e+01
3.300000e-07	-1.105975e-02	1.010155e+01
3.400000e-07	-1.034146e-02	9.846888e+00
3.500000e-07	-9.024114e-03	9.522608e+00
3.600000e-07	-7.736669e-03	9.312479e+00
3.700000e-07	-7.857629e-03	9.038367e+00
3.800000e-07	-8.569272e-03	8.754709e+00
3.900000e-07	-8.059904e-03	8.542027e+00
4.000000e-07	-8.915724e-03	8.219392e+00
4.100000e-07	-9.034336e-03	7.943063e+00
