# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_309402.3469143987
# 
Resultados:
# tau_s_=_(-1.96+/-0.11)e+01
# dphi_rad_=_6.25+/-0.00
# SAR_W/g_=_-37.37+/-2.21
# Hc_kA/m_=_1.17+/-0.07
# Mr_A/m_=_9.74+/-0.59
# Suceptibilidad_a_M=0_=_0.0083+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_080dA_100Mss_bobN1Pm0007.txt		20.00	8.56	1.06	31027.40	252.11	3.094607e+05	9.504975e+00	6.248698e+00	-32.97	-17.744681	4524	8.091e-03
300kHz_080dA_100Mss_bobN1Pm0008.txt		20.00	7.98	0.98	31027.40	253.92	3.094607e+05	9.573097e+00	6.251189e+00	-30.81	-16.462331	4524	8.151e-03
300kHz_080dA_100Mss_bobN1Pm0009.txt		20.00	9.20	1.12	31027.40	255.54	3.093923e+05	9.636493e+00	6.246717e+00	-35.34	-18.765634	4525	8.207e-03
300kHz_080dA_100Mss_bobN1Pm0010.txt		20.00	10.59	1.28	31027.40	258.26	3.093923e+05	9.738610e+00	6.241756e+00	-40.57	-21.321295	4525	8.307e-03
300kHz_080dA_100Mss_bobN1Pm0011.txt		20.00	10.62	1.28	31027.40	258.87	3.093923e+05	9.761729e+00	6.241748e+00	-40.67	-21.326567	4525	8.317e-03
300kHz_080dA_100Mss_bobN1Pm0012.txt		20.00	10.18	1.24	31027.40	254.84	3.093923e+05	9.609889e+00	6.242830e+00	-38.99	-20.768836	4525	8.187e-03
300kHz_080dA_100Mss_bobN1Pm0013.txt		20.00	10.09	1.21	31027.40	259.52	3.093923e+05	9.786275e+00	6.243883e+00	-38.67	-20.226232	4525	8.340e-03
300kHz_080dA_100Mss_bobN1Pm0014.txt		20.00	9.75	1.16	31027.40	261.86	3.093923e+05	9.874587e+00	6.245468e+00	-37.45	-19.410148	4525	8.413e-03
300kHz_080dA_100Mss_bobN1Pm0015.txt		20.00	9.82	1.18	31027.40	258.12	3.093923e+05	9.733581e+00	6.244695e+00	-37.67	-19.808563	4525	8.295e-03
300kHz_080dA_100Mss_bobN1Pm0016.txt		20.00	10.40	1.24	31027.40	260.87	3.093923e+05	9.837280e+00	6.242897e+00	-39.85	-20.734758	4525	8.382e-03
300kHz_080dA_100Mss_bobN1Pm0017.txt		20.00	10.05	1.20	31027.40	259.99	3.093923e+05	9.803922e+00	6.244065e+00	-38.56	-20.132777	4525	8.360e-03
300kHz_080dA_100Mss_bobN1Pm0018.txt		20.00	9.56	1.15	31027.40	259.43	3.093923e+05	9.782826e+00	6.245877e+00	-36.70	-19.199379	4525	8.339e-03
300kHz_080dA_100Mss_bobN1Pm0019.txt		20.00	9.93	1.20	31027.40	258.61	3.093923e+05	9.752135e+00	6.244361e+00	-38.07	-19.980112	4525	8.313e-03
300kHz_080dA_100Mss_bobN1Pm0020.txt		20.00	9.56	1.14	31027.40	260.78	3.093923e+05	9.833944e+00	6.246078e+00	-36.69	-19.095782	4525	8.382e-03
300kHz_080dA_100Mss_bobN1Pm0021.txt		20.00	9.11	1.10	31027.40	258.59	3.093923e+05	9.751252e+00	6.247554e+00	-34.94	-18.335885	4525	8.313e-03
300kHz_080dA_100Mss_bobN1Pm0022.txt		20.00	9.82	1.18	31027.40	259.45	3.093923e+05	9.783730e+00	6.244890e+00	-37.67	-19.708041	4525	8.340e-03
300kHz_080dA_100Mss_bobN1Pm0023.txt		20.00	9.66	1.16	31027.40	259.77	3.093923e+05	9.795806e+00	6.245548e+00	-37.07	-19.369174	4525	8.354e-03
300kHz_080dA_100Mss_bobN1Pm0024.txt		20.00	10.20	1.21	31027.40	261.68	3.093923e+05	9.867579e+00	6.243762e+00	-39.11	-20.288921	4525	8.418e-03
300kHz_080dA_100Mss_bobN1Pm0025.txt		20.00	9.50	1.15	31027.40	257.07	3.093923e+05	9.693860e+00	6.245813e+00	-36.43	-19.232428	4525	8.278e-03
300kHz_080dA_100Mss_bobN1Pm0026.txt		20.00	9.86	1.19	31027.40	258.30	3.093923e+05	9.740200e+00	6.244554e+00	-37.83	-19.881147	4525	8.306e-03
300kHz_080dA_100Mss_bobN1Pm0027.txt		20.00	10.14	1.22	31027.40	258.48	3.093923e+05	9.746914e+00	6.243549e+00	-38.84	-20.398524	4525	8.312e-03
300kHz_080dA_100Mss_bobN1Pm0028.txt		20.00	9.98	1.20	31027.40	259.19	3.093923e+05	9.773842e+00	6.244220e+00	-38.29	-20.053049	4525	8.332e-03
300kHz_080dA_100Mss_bobN1Pm0029.txt		20.00	9.64	1.16	31027.40	259.43	3.093923e+05	9.783022e+00	6.245558e+00	-37.01	-19.363972	4525	8.332e-03
300kHz_080dA_100Mss_bobN1Pm0030.txt		20.00	10.45	1.25	31027.40	259.47	3.093923e+05	9.784327e+00	6.242512e+00	-40.01	-20.933365	4525	8.339e-03
300kHz_080dA_100Mss_bobN1Pm0031.txt		20.00	9.21	1.11	31027.40	257.91	3.093923e+05	9.725613e+00	6.247037e+00	-35.35	-18.602398	4525	8.291e-03
300kHz_080dA_100Mss_bobN1Pm0032.txt		20.00	9.39	1.15	31027.40	254.74	3.093923e+05	9.605962e+00	6.245881e+00	-36.03	-19.197545	4525	8.188e-03
