# 250924_12:45:07.372108
t	CH1	CH2
0.000000e+00	-1.195819e-02	1.626382e+01
1.000000e-08	-1.009708e-02	1.619106e+01
2.000000e-08	-9.923791e-03	1.612553e+01
3.000000e-08	-9.736490e-03	1.601272e+01
4.000000e-08	-1.010123e-02	1.591644e+01
5.000000e-08	-1.096941e-02	1.581127e+01
6.000000e-08	-1.065956e-02	1.572693e+01
7.000000e-08	-1.054417e-02	1.566318e+01
8.000000e-08	-1.200953e-02	1.548546e+01
9.000000e-08	-1.084228e-02	1.540059e+01
1.000000e-07	-8.850446e-03	1.527232e+01
1.100000e-07	-9.300147e-03	1.507393e+01
1.200000e-07	-9.188476e-03	1.497854e+01
1.300000e-07	-1.106113e-02	1.480228e+01
1.400000e-07	-1.130382e-02	1.468536e+01
1.500000e-07	-1.155536e-02	1.452748e+01
1.600000e-07	-9.488020e-03	1.435957e+01
1.700000e-07	-9.026292e-03	1.418122e+01
1.800000e-07	-9.705036e-03	1.401215e+01
1.900000e-07	-1.116146e-02	1.382274e+01
2.000000e-07	-1.049903e-02	1.367125e+01
2.100000e-07	-9.976777e-03	1.348377e+01
2.200000e-07	-8.840084e-03	1.326583e+01
2.300000e-07	-9.923986e-03	1.309386e+01
2.400000e-07	-9.801384e-03	1.285240e+01
2.500000e-07	-9.872865e-03	1.266483e+01
2.600000e-07	-8.467901e-03	1.251586e+01
2.700000e-07	-8.785982e-03	1.227386e+01
2.800000e-07	-9.499485e-03	1.203075e+01
2.900000e-07	-1.063103e-02	1.181070e+01
3.000000e-07	-9.075303e-03	1.160117e+01
3.100000e-07	-9.354673e-03	1.129433e+01
3.200000e-07	-7.869574e-03	1.106379e+01
3.300000e-07	-9.586626e-03	1.084423e+01
3.400000e-07	-9.165859e-03	1.059159e+01
3.500000e-07	-8.859618e-03	1.036946e+01
3.600000e-07	-8.845619e-03	1.007431e+01
3.700000e-07	-8.494902e-03	9.801680e+00
3.800000e-07	-9.652855e-03	9.556970e+00
3.900000e-07	-8.666219e-03	9.286311e+00
4.000000e-07	-8.526700e-03	9.052185e+00
4.100000e-07	-8.244869e-03	8.757946e+00
4.200000e-07	-8.610329e-03	8.475335e+00
4.300000e-07	-8.229546e-03	8.270655e+00
4.400000e-07	-8.841747e-03	7.928466e+00
4.500000e-07	-8.011547e-03	7.663683e+00
4.600000e-07	-7.890812e-03	7.327414e+00
4.700000e-07	-7.498335e-03	7.043204e+00
