# 250924_14:31:48.317444
t	CH1	CH2
0.000000e+00	-1.760094e-03	1.621150e+01
1.000000e-08	-1.864674e-03	1.614887e+01
2.000000e-08	-2.850589e-03	1.605413e+01
3.000000e-08	-4.498050e-03	1.598994e+01
4.000000e-08	-4.551397e-03	1.589273e+01
5.000000e-08	-2.551681e-03	1.580412e+01
6.000000e-08	-3.063945e-03	1.571331e+01
7.000000e-08	-3.786793e-03	1.563055e+01
8.000000e-08	-4.337795e-03	1.548374e+01
9.000000e-08	-2.483876e-03	1.535637e+01
1.000000e-07	-1.385455e-03	1.526100e+01
1.100000e-07	-3.295076e-03	1.505268e+01
1.200000e-07	-4.088592e-03	1.491687e+01
1.300000e-07	-5.528931e-03	1.482110e+01
1.400000e-07	-4.385384e-03	1.467471e+01
1.500000e-07	-4.120136e-03	1.451421e+01
1.600000e-07	-3.250993e-03	1.431729e+01
1.700000e-07	-3.100403e-03	1.417747e+01
1.800000e-07	-2.705675e-03	1.402067e+01
1.900000e-07	-1.854428e-03	1.379257e+01
2.000000e-07	-3.480103e-03	1.362355e+01
2.100000e-07	-3.710131e-03	1.342328e+01
2.200000e-07	-4.946789e-03	1.327328e+01
2.300000e-07	-4.751548e-03	1.305521e+01
2.400000e-07	-3.473802e-03	1.286531e+01
2.500000e-07	-3.385212e-03	1.264276e+01
2.600000e-07	-3.591745e-03	1.244424e+01
2.700000e-07	-3.788295e-03	1.224476e+01
2.800000e-07	-3.732062e-03	1.202118e+01
2.900000e-07	-3.799376e-03	1.181060e+01
3.000000e-07	-3.310004e-03	1.157015e+01
3.100000e-07	-4.729912e-03	1.129534e+01
3.200000e-07	-4.643703e-03	1.105473e+01
3.300000e-07	-4.712792e-03	1.087121e+01
3.400000e-07	-3.906102e-03	1.053163e+01
3.500000e-07	-4.441121e-03	1.030794e+01
3.600000e-07	-4.546662e-03	1.008379e+01
3.700000e-07	-4.339546e-03	9.802132e+00
3.800000e-07	-4.024058e-03	9.528393e+00
3.900000e-07	-3.927898e-03	9.295314e+00
4.000000e-07	-4.721556e-03	9.043682e+00
4.100000e-07	-4.645606e-03	8.718945e+00
4.200000e-07	-4.870535e-03	8.496294e+00
4.300000e-07	-4.455455e-03	8.213181e+00
4.400000e-07	-4.850829e-03	7.887993e+00
4.500000e-07	-4.926477e-03	7.664833e+00
4.600000e-07	-4.637362e-03	7.318571e+00
4.700000e-07	-4.756662e-03	7.043737e+00
4.800000e-07	-3.842430e-03	6.779103e+00
4.900000e-07	-4.645088e-03	6.494283e+00
5.000000e-07	-5.859133e-03	6.170053e+00
5.100000e-07	-5.775921e-03	5.906896e+00
5.200000e-07	-5.643655e-03	5.608534e+00
5.300000e-07	-5.265035e-03	5.294894e+00
5.400000e-07	-5.144683e-03	4.936964e+00
5.500000e-07	-4.961554e-03	4.600229e+00
5.600000e-07	-5.370083e-03	4.276921e+00
5.700000e-07	-5.354379e-03	4.009630e+00
5.800000e-07	-4.761982e-03	3.704390e+00
5.900000e-07	-4.252484e-03	3.381631e+00
6.000000e-07	-5.257947e-03	3.074869e+00
6.100000e-07	-5.563782e-03	2.799630e+00
6.200000e-07	-5.165198e-03	2.443262e+00
6.300000e-07	-4.754229e-03	2.097372e+00
6.400000e-07	-5.949207e-03	1.822716e+00
6.500000e-07	-5.883725e-03	1.457419e+00
6.600000e-07	-5.968263e-03	1.140029e+00
6.700000e-07	-5.541196e-03	7.810317e-01
6.800000e-07	-4.706904e-03	4.869199e-01
6.900000e-07	-3.700538e-03	2.001091e-01
7.000000e-07	-2.727735e-03	-1.451354e-01
7.100000e-07	4.310292e-03	-4.188921e-01
7.200000e-07	-4.456075e-03	-7.442392e-01
7.300000e-07	6.283506e-04	-1.019941e+00
7.400000e-07	-5.127931e-03	-1.398783e+00
7.500000e-07	-4.793682e-03	-1.694054e+00
7.600000e-07	-6.314100e-03	-1.914657e+00
7.700000e-07	4.964112e-03	-2.157182e+00
7.800000e-07	6.935085e-02	-2.482550e+00
7.900000e-07	4.222578e-02	-2.798313e+00
8.000000e-07	-5.155019e-02	-3.293475e+00
8.100000e-07	-2.040341e-02	-3.662972e+00
8.200000e-07	-6.499912e-02	-3.965288e+00
8.300000e-07	-1.106856e-01	-4.145291e+00
8.400000e-07	1.374168e-01	-4.294607e+00
8.500000e-07	-2.665541e-02	-4.587155e+00
8.600000e-07	-3.296758e-02	-4.947263e+00
8.700000e-07	1.926069e-01	-5.157316e+00
8.800000e-07	-1.692811e-01	-5.575175e+00
8.900000e-07	1.752233e-02	-5.936179e+00
9.000000e-07	5.183913e-02	-6.084209e+00
9.100000e-07	-1.621265e-01	-6.526082e+00
9.200000e-07	1.452441e-01	-6.788437e+00
9.300000e-07	-6.017247e-02	-7.040818e+00
9.400000e-07	2.655827e-02	-7.450422e+00
9.500000e-07	9.329903e-02	-7.681545e+00
9.600000e-07	-1.411332e-01	-8.121970e+00
9.700000e-07	6.911611e-02	-8.314157e+00
9.800000e-07	-9.371606e-02	-8.555232e+00
9.900000e-07	3.559817e-02	-8.913655e+00
1.000000e-06	6.143072e-02	-9.083084e+00
1.010000e-06	-5.572913e-02	-9.426767e+00
1.020000e-06	9.715453e-02	-9.661527e+00
1.030000e-06	-1.257204e-01	-9.872528e+00
1.040000e-06	4.456610e-02	-1.025947e+01
1.050000e-06	-1.347099e-02	-1.041099e+01
1.060000e-06	-4.033300e-02	-1.068368e+01
1.070000e-06	7.407878e-02	-1.086318e+01
1.080000e-06	-5.707715e-02	-1.118563e+01
1.090000e-06	6.193135e-02	-1.142990e+01
1.100000e-06	-3.637112e-02	-1.164151e+01
1.110000e-06	-1.219680e-02	-1.197463e+01
1.120000e-06	-8.529599e-03	-1.209671e+01
1.130000e-06	-2.876283e-02	-1.235518e+01
1.140000e-06	4.103575e-02	-1.256681e+01
1.150000e-06	-1.296910e-02	-1.279631e+01
1.160000e-06	2.088538e-02	-1.297882e+01
1.170000e-06	-2.093192e-02	-1.314619e+01
1.180000e-06	-1.623567e-02	-1.336621e+01
1.190000e-06	-1.141006e-03	-1.354491e+01
1.200000e-06	-6.510949e-03	-1.374374e+01
1.210000e-06	3.245334e-03	-1.393566e+01
1.220000e-06	2.773395e-03	-1.409413e+01
1.230000e-06	-6.141059e-03	-1.432671e+01
1.240000e-06	3.457597e-03	-1.445505e+01
1.250000e-06	-1.184126e-02	-1.465249e+01
1.260000e-06	-1.002361e-02	-1.477729e+01
1.270000e-06	-4.893301e-03	-1.491511e+01
1.280000e-06	-6.349078e-03	-1.511265e+01
1.290000e-06	1.359460e-02	-1.519939e+01
1.300000e-06	-8.686648e-03	-1.536528e+01
1.310000e-06	2.030031e-03	-1.545355e+01
1.320000e-06	-1.763675e-02	-1.555729e+01
