# 250924_14:33:21.432862
t	CH1	CH2
0.000000e+00	-7.007471e-03	1.470729e+01
1.000000e-08	-7.619664e-03	1.466513e+01
2.000000e-08	-1.000251e-02	1.456142e+01
3.000000e-08	-9.850622e-03	1.447568e+01
4.000000e-08	-6.733456e-03	1.440185e+01
5.000000e-08	-7.039720e-03	1.427823e+01
6.000000e-08	-7.631224e-03	1.422200e+01
7.000000e-08	-1.115669e-02	1.407621e+01
8.000000e-08	-1.000185e-02	1.398080e+01
9.000000e-08	-6.947188e-03	1.385453e+01
1.000000e-07	-7.147545e-03	1.369781e+01
1.100000e-07	-7.236676e-03	1.353985e+01
1.200000e-07	-9.991902e-03	1.345613e+01
1.300000e-07	-9.260535e-03	1.336832e+01
1.400000e-07	-8.007477e-03	1.321137e+01
1.500000e-07	-7.804601e-03	1.305616e+01
1.600000e-07	-9.371089e-03	1.291776e+01
1.700000e-07	-9.614505e-03	1.276980e+01
1.800000e-07	-6.821097e-03	1.259145e+01
1.900000e-07	-6.947126e-03	1.248416e+01
2.000000e-07	-7.251202e-03	1.233679e+01
2.100000e-07	-8.841210e-03	1.211783e+01
2.200000e-07	-1.006463e-02	1.193887e+01
2.300000e-07	-8.492552e-03	1.177990e+01
2.400000e-07	-6.446722e-03	1.155992e+01
2.500000e-07	-7.352798e-03	1.137987e+01
2.600000e-07	-7.830741e-03	1.111887e+01
2.700000e-07	-8.381320e-03	1.091840e+01
2.800000e-07	-7.461038e-03	1.082088e+01
2.900000e-07	-7.106654e-03	1.061005e+01
3.000000e-07	-7.514189e-03	1.033884e+01
3.100000e-07	-8.668617e-03	1.011932e+01
3.200000e-07	-8.790641e-03	9.927872e+00
3.300000e-07	-7.433570e-03	9.645736e+00
3.400000e-07	-7.367259e-03	9.464128e+00
3.500000e-07	-7.165051e-03	9.252608e+00
3.600000e-07	-7.705453e-03	9.023509e+00
3.700000e-07	-6.751804e-03	8.750444e+00
3.800000e-07	-6.979571e-03	8.548820e+00
3.900000e-07	-6.982017e-03	8.348818e+00
4.000000e-07	-7.326607e-03	8.107631e+00
4.100000e-07	-7.495125e-03	7.831530e+00
4.200000e-07	-6.632642e-03	7.578372e+00
4.300000e-07	-6.707047e-03	7.265579e+00
4.400000e-07	-7.143987e-03	7.073107e+00
4.500000e-07	-7.965620e-03	6.830474e+00
4.600000e-07	-7.171212e-03	6.508766e+00
4.700000e-07	-5.938856e-03	6.262586e+00
4.800000e-07	-5.835567e-03	6.032501e+00
4.900000e-07	-6.333878e-03	5.839842e+00
5.000000e-07	-6.782073e-03	5.496208e+00
5.100000e-07	-6.111263e-03	5.231950e+00
5.200000e-07	-6.583821e-03	4.872679e+00
5.300000e-07	-7.038385e-03	4.559372e+00
5.400000e-07	-7.222441e-03	4.325868e+00
5.500000e-07	-5.863785e-03	4.043528e+00
5.600000e-07	-6.320321e-03	3.758371e+00
5.700000e-07	-5.515250e-03	3.528689e+00
5.800000e-07	-6.213986e-03	3.200972e+00
5.900000e-07	-5.904089e-03	2.926315e+00
6.000000e-07	-5.923235e-03	2.673690e+00
6.100000e-07	-5.391681e-03	2.326447e+00
6.200000e-07	-6.092709e-03	2.073637e+00
6.300000e-07	-5.860629e-03	1.810999e+00
6.400000e-07	-6.052655e-03	1.476259e+00
6.500000e-07	-5.880511e-03	1.160870e+00
6.600000e-07	-5.214456e-03	8.446077e-01
6.700000e-07	-5.475637e-03	5.889509e-01
6.800000e-07	-4.034104e-03	3.257641e-01
6.900000e-07	-4.095654e-03	3.995493e-02
7.000000e-07	3.717671e-03	-2.652593e-01
7.100000e-07	8.934223e-04	-4.872621e-01
7.200000e-07	-2.450990e-03	-8.195265e-01
7.300000e-07	-1.649052e-03	-1.053234e+00
7.400000e-07	-4.575697e-03	-1.358346e+00
7.500000e-07	-4.979221e-03	-1.633682e+00
7.600000e-07	-1.324222e-03	-1.843707e+00
7.700000e-07	1.847915e-02	-2.073159e+00
7.800000e-07	9.712595e-02	-2.378494e+00
7.900000e-07	-2.435937e-02	-2.749491e+00
8.000000e-07	-2.652085e-02	-3.222075e+00
8.100000e-07	-4.428198e-02	-3.476261e+00
8.200000e-07	-1.176681e-01	-3.643156e+00
8.300000e-07	5.038152e-02	-3.821550e+00
8.400000e-07	9.850517e-02	-3.990999e+00
8.500000e-07	-1.657471e-01	-4.357520e+00
8.600000e-07	2.131597e-01	-4.558370e+00
8.700000e-07	-3.531951e-02	-4.781972e+00
8.800000e-07	-1.533018e-01	-5.242131e+00
8.900000e-07	1.671363e-01	-5.464605e+00
9.000000e-07	-1.324063e-01	-5.758791e+00
9.100000e-07	-2.135049e-02	-6.052653e+00
9.200000e-07	1.327606e-01	-6.213074e+00
9.300000e-07	-1.353258e-01	-6.619947e+00
9.400000e-07	1.662958e-01	-6.802123e+00
9.500000e-07	-5.744170e-02	-7.025189e+00
9.600000e-07	-7.396172e-02	-7.453101e+00
9.700000e-07	6.630257e-02	-7.591522e+00
9.800000e-07	-1.174825e-01	-7.968491e+00
9.900000e-07	1.306642e-01	-8.210524e+00
1.000000e-06	-2.845717e-02	-8.400517e+00
1.010000e-06	1.301583e-02	-8.706184e+00
1.020000e-06	3.750014e-02	-8.885231e+00
1.030000e-06	-1.200073e-01	-9.146970e+00
1.040000e-06	1.093348e-01	-9.341363e+00
1.050000e-06	-8.331158e-02	-9.599921e+00
1.060000e-06	3.039625e-02	-9.824132e+00
1.070000e-06	4.548007e-02	-9.958921e+00
1.080000e-06	-5.202086e-02	-1.025676e+01
1.090000e-06	8.761246e-02	-1.046511e+01
1.100000e-06	-7.819086e-02	-1.066316e+01
1.110000e-06	2.354965e-02	-1.086456e+01
